CCLE_ID,depMapID,TCGA_cancer_type,COSMIC1,COSMIC2,COSMIC3,COSMIC4,COSMIC5,COSMIC6,COSMIC7,COSMIC8,COSMIC9,COSMIC10,COSMIC11,COSMIC12,COSMIC13,COSMIC14,COSMIC15,COSMIC16,COSMIC17,COSMIC18,COSMIC19,COSMIC20,COSMIC21,COSMIC22,COSMIC23,COSMIC24,COSMIC25,COSMIC26,COSMIC27,COSMIC28,COSMIC29,COSMIC30
UMUC3_URINARY_TRACT,ACH-000522,BLCA,37.3978438,60.84700306,0,0,229.9817159,0,0,0,0,0,0,0,77.76922225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5637_URINARY_TRACT,ACH-000905,BLCA,85.57764281,95.45094703,0,0,349.7027788,0,0,0,0,0,0,0,103.2686314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBLC1_URINARY_TRACT,ACH-000741,BLCA,54.1183833,68.37643038,0,0,157.8960146,0,0,0,0,1.85161021,0,0,85.75756154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J82_URINARY_TRACT,ACH-000396,BLCA,31.2190392,33.26351778,0,0,228.1726922,0,0,0,0,0,0,0,27.34475082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KMBC2_URINARY_TRACT,ACH-000862,BLCA,105.2394375,155.5640315,0,0,233.8142022,0,0,0,0,11.65055874,0,0,230.7317701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T24_URINARY_TRACT,ACH-000018,BLCA,35.63803091,47.81194033,0,0,134.6219097,0,0,0,0,6.606626383,0,0,21.32149265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253J_URINARY_TRACT,ACH-000011,BLCA,28.39476755,5.414714972,0,0,320.8148474,0,0,0,0,0,0,0,11.37567009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253JBV_URINARY_TRACT,ACH-000026,BLCA,33.64949456,9.693215657,0,0,342.4003966,0,0,0,0,0,0,0,18.25689318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RT11284_URINARY_TRACT,ACH-001183,BLCA,6.356843709,6.043224107,0,0,9.272847558,0,0,0,0,0,0,0,5.895886792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT1197_URINARY_TRACT,ACH-000547,BLCA,42.11072525,33.05034679,0,0,152.706383,0,0,0,0,0,0,0,43.1325449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
