"","CellLineName","H3K4me0","H3K4me1","H3K4me2","H3K4ac1","H3K56me0","H3K56me1","H3K79me0","H3K79me1","H3K79me2","H3K9me0","H3K9me1","H3K9me2","H3K9me3","H3K27me0","H3K27me1","H3K27me2","H3K27me3","H3K36me0","H3K36me1","H3K36me2","H3K36me3","H3K9ac1","H3K14ac0","H3K14ac1","H3K18ac0","H3K18ac1","H3K23ac0","H3K23ac1","H3K23ub1","H3K27ac1"
"ACH-000698","DMS53_LUNG",0.1160196,-0.153144208,-0.34860651,-1.41712763,-0.22291187,-0.310910451,-0.272654654,0.271469181,0.46964655,-1.2156172395,-0.7071954875,0.1956031095,0.5458747245,-0.2438920866,-0.29462753025,-0.479878387333333,-1.1880331905,-1.00671652383333,-0.0270017678,0.5774853645,-0.136246002666667,-0.7896194925,-0.642039999,-0.1463417552,-0.250963894333333,-0.1307816155,-0.067510035,-0.2997939515,-0.279846941,0.48489189125
"ACH-000489","SW1116_LARGE_INTESTINE",-0.058624326,0.219591976,0.110946033,-0.170281885,-0.075172842,NA,0.051017782,0.099032394,0.169760564,-0.0915344315,-0.0340930025,-0.069025023,-0.6819746215,-0.9143749112,-0.509210056,0.246702249666667,0.339231885,-0.261240021166667,-0.5221201918,-0.79225329075,-1.02060846966667,-0.1058393805,0.1471344778,-0.5401210614,NA,-0.137900569,0.064864871,-0.1303504225,NA,-1.30468384925
"ACH-000431","NCIH1694_LUNG",0.480908807,0.298440467,0.073776921,0.413953387,0.117563553,NA,0.18598369,0.191759968,-0.437560648,-0.1320195055,0.5196994195,0.488201724,0.3592477525,-0.2178890732,-0.14003583175,-0.120889228666667,0.4262923465,-0.1124824995,-0.155593769,0.27147929675,-0.857020285,-0.1777139145,-0.188122359,0.6110885494,NA,0.4881138985,0.4660283785,0.386268943,NA,-0.444583956
"ACH-000707","P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.079957187,-0.617656074,-0.566702235,0.079931995,-0.199315524,0.037929332,0.003978434,-0.225147213,-0.06144507,0.2776845545,0.120941612,-0.071555845,-0.385569612,0.3746184488,0.00388504249999999,-0.230033972,-0.136383292,0.888323844666667,-0.1111506626,-0.5573812015,0.290297061333333,0.187131988,0.1241968266,-0.0727437476,0.488673154,-0.11045413,-0.1382486225,0.280727155,0.960154137,0.62244805475
"ACH-000509","HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.059965467,-0.063482668,-0.267979772,0.357421525,0.037021484,NA,0.045494934,-0.153683963,-0.106306037,0.4603641005,0.2572300485,0.337056211,-0.1261422575,0.0541683224,0.0895594435,-0.00828533833333334,0.667536813,-0.0335454988333333,0.188744151,0.35223777275,0.00787565799999999,0.186015441,-0.0638166426,0.50962606,NA,-0.0955526775,-0.102468409,0.2890088285,NA,0.0589322075
"ACH-000522","UMUC3_URINARY_TRACT",-0.326128698,-0.08669036,0.713623147,0.066647982,-0.291408237,-0.18694731,-0.441485054,-0.27237112,-0.534436744,0.2996362575,-0.349609887,-1.287873712,-0.737423433,-0.4423623794,-0.3183893535,-0.20532402,0.220960503,-0.135217989833333,-0.4890795114,-0.4449587325,-0.319882228333333,0.460661094,-0.0934759194,-0.5523679528,-0.120119482,-0.3006475385,-0.393689218,-0.0134953655,-0.147284356,-0.5841916865
"ACH-000613","HOS_BONE",-0.241258805,-0.871103312,-0.382457339,-0.100697817,0.2312459,NA,-0.095360384,-0.532368252,-0.391364757,-0.1869388835,-0.1979925135,-0.2042789,-0.428419046,-0.7174353016,-0.65602997475,-0.300272131666667,0.4097444525,-0.148608164166667,-0.7560307732,-1.261034604,-1.11945933866667,-0.5727544465,-0.4032397824,-0.2329137334,NA,-0.9021408675,-0.541878604,-0.781682644,NA,-1.6954238465
"ACH-000829","HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.000764619,0.19307549,-0.001264666,0.172924,-0.248224458,NA,0.15152941,0.014668422,-0.132116226,0.401467971,0.2239295595,-0.215879844,-0.622637458,-0.0907043678,-0.01408539325,0.0428486083333333,0.0171601715,0.287201151833333,-0.0103802444,-0.087144271,0.012924002,-0.480940401,-0.241519341,-0.036104728,NA,0.49235365,-0.00574177700000002,0.52324132,NA,0.42712446375
"ACH-000557","AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.127253798,-0.101106619,0.197892882,-1.028948063,0.087313629,0.140158428,-0.092945161,0.209983484,0.654700122,0.036086901,0.0526748895,0.20579718,-0.148837768,1.0839374592,0.556164019,-0.2938062,-1.6321340105,0.702409712833333,0.033187417,0.078778451,0.431204511,-0.4117214555,-0.019754481,-0.0866456202,0.526339081,-0.438084931,-0.1196177235,-0.303235962,1.548554752,0.622616487
"ACH-000614","RVH421_SKIN",0.106098435,0.586015329,0.40797154,NA,0.149910695,0.1793497,0.172654125,0.376767677,0.414125143,0.237784276,0.2662759285,0.364366599,0.0847046525,-0.0780072098,0.121121409,0.233786419,0.625861501,-0.0337212263333333,0.2349078236,0.3436374425,-0.0131068793333333,0.2264328395,0.210625862,0.2611998562,1.20456672033333,-0.188121496,0.1490682215,-0.1815064715,3.302333669,0.0649772615
