,mRNAsi
ACH-000956,0.776764782
ACH-000948,0.654839559
ACH-000026,0.602685339
ACH-000011,0.458130006
ACH-000323,0.395637869
ACH-000905,0.602905973
ACH-000520,0.428810742
ACH-000973,0.673733508
ACH-000896,0.596642027
ACH-000070,0.816827793
ACH-000411,0.542410533
ACH-000649,0.532387162
ACH-001306,0.40309097
ACH-001307,0.498285377
ACH-000137,0.484863695
ACH-000008,0.518725676
ACH-000283,0.496816677
ACH-000558,0.351280719
ACH-000201,0.568139599
ACH-000788,0.551138567
ACH-000740,0.583603273
ACH-000657,0.678086118
ACH-000219,0.621165916
ACH-000697,0.669229805
ACH-000757,0.685708801
ACH-000555,0.420565259
ACH-000157,0.772681432
ACH-000681,0.617096464
ACH-000052,0.594583257
ACH-000429,0.41511873
ACH-000528,0.602391369
ACH-000086,0.561359741
ACH-000046,0.545154736
ACH-000880,0.64221017
ACH-000105,0.798937881
ACH-000269,0.608238529
ACH-000557,0.762434533
ACH-000838,0.836287401
ACH-000940,0.601796078
ACH-000222,0.43584286
ACH-000248,0.679815677
ACH-000593,0.557611878
ACH-000923,0.751721304
ACH-000456,0.263024974
ACH-000080,0.794063289
ACH-000603,0.571947623
ACH-000802,0.633338459
ACH-000792,0.419769106
ACH-000191,0.474956606
ACH-000548,0.432671358
ACH-000503,0.479725571
ACH-000992,0.587626349
ACH-000794,0.406511209
ACH-000228,0.385279356
ACH-000771,0.321139191
ACH-000415,0.471823986
ACH-000245,0.974280063
ACH-000402,0.971709221
ACH-000160,0.707227827
ACH-000536,0.630215317
ACH-000927,0.661960017
ACH-000818,0.502508152
ACH-000288,0.513667888
ACH-000432,0.770587907
ACH-000535,0.559705723
ACH-000009,0.618852978
ACH-000580,0.4639013
ACH-000206,0.814611465
ACH-000440,0.836099074
ACH-000210,0.602760821
ACH-000433,0.449750295
ACH-000234,0.508034863
ACH-000212,0.516815514
ACH-000826,0.618931064
ACH-000902,0.658022679
ACH-000832,0.551053378
ACH-000142,0.467622775
ACH-000518,0.43633353
ACH-000856,0.530362532
ACH-000457,0.353872417
ACH-000174,0.599530201
ACH-000516,0.367359747
ACH-000857,0.551959589
ACH-000511,0.478908105
ACH-000392,0.662712319
ACH-000264,0.559266696
ACH-000783,0.648284228
ACH-000713,0.588901721
ACH-000103,0.499413609
ACH-000354,0.655346947
ACH-000107,0.565473281
ACH-000464,0.337789365
ACH-000329,0.358507328
ACH-000963,0.81588703
ACH-000138,0.466589353
ACH-000025,0.533958666
ACH-000867,0.565388445
ACH-000136,0.662506324
ACH-000120,0.473057668
ACH-000687,0.916695861
ACH-000458,0.498815052
ACH-000249,0.587248921
ACH-000342,0.529730114
ACH-000895,0.700112739
ACH-000798,0.562644964
ACH-000641,0.709655503
ACH-000920,0.709471474
ACH-000253,0.637346536
ACH-000202,0.687698453
ACH-000803,0.748829585
ACH-000350,0.493302317
ACH-000805,0.554730616
ACH-000717,0.392475004
ACH-000864,0.663280414
ACH-000582,0.580181042
ACH-000812,0.493509499
ACH-000968,0.522381982
ACH-000401,0.466082409
ACH-000644,0.381542581
ACH-000161,0.566133709
ACH-000662,0.76179348
ACH-000382,0.667447434
ACH-000257,0.732105378
ACH-000187,0.830903489
ACH-000695,0.727390344
ACH-000508,0.803110853
ACH-000743,0.615163696
ACH-000256,0.523459234
ACH-000278,0.508445985
ACH-000123,0.676679162
ACH-000608,0.502428042
ACH-000998,0.750828018
ACH-000003,0.558435496
ACH-000055,0.732500513
ACH-000095,0.629108445
ACH-000243,0.685275969
ACH-000211,0.556118882
ACH-000786,0.877977778
ACH-000863,0.33089428
ACH-000334,0.936451009
ACH-000233,0.545942948
ACH-000207,0.6273641
ACH-000244,0.211066194
ACH-000742,0.153977287
ACH-000530,0.673353419
ACH-000594,0.710846328
ACH-000749,0.832801001
ACH-000844,0.707244083
ACH-000698,0.726941223
ACH-000703,0.706439983
ACH-000981,0.724265444
ACH-000056,0.829602032
ACH-000979,0.68176683
ACH-000258,0.662728351
ACH-000925,0.75010484
ACH-000877,0.81341578
ACH-000563,0.677841944
ACH-000560,0.613142882
ACH-000225,0.562822827
ACH-000305,0.445943831
ACH-000435,0.588618899
ACH-000117,0.600481435
ACH-000330,0.654017225
ACH-000308,0.490418851
ACH-000936,0.533639117
ACH-000038,0.68497504
ACH-000821,0.77572195
ACH-000706,0.41135318
ACH-000295,0.811086981
ACH-000978,0.675402063
ACH-000198,0.747208529
ACH-000585,0.632470529
ACH-000906,0.539487513
ACH-000913,0.526377517
ACH-000499,0.741014436
ACH-000279,0.703225269
ACH-000487,0.67431189
ACH-000846,0.681698833
ACH-000903,0.435347277
ACH-000897,0.541906194
ACH-000633,0.607011559
ACH-000574,0.636043274
ACH-000082,0.454132764
ACH-000572,0.673279289
ACH-000096,0.71542664
ACH-000375,0.554781282
ACH-000162,1
ACH-000098,0.553191055
ACH-000738,0.557515731
ACH-000047,0.571919412
ACH-000835,0.549485218
ACH-000081,0.653926943
ACH-000756,0.429701574
ACH-000102,0.391324577
ACH-000027,0.320508233
ACH-000982,0.771670841
ACH-000073,0.773256434
ACH-000746,0.707022433
ACH-000485,0.632627416
ACH-000389,0.398371962
ACH-000843,0.733605193
ACH-000374,0.605401994
ACH-000578,0.466449472
ACH-000111,0.541812583
ACH-000868,0.582945453
ACH-000901,0.558514733
ACH-000699,0.534237341
ACH-000277,0.581356109
ACH-000352,0.625120481
ACH-000891,0.599945922
ACH-000349,0.550587724
ACH-000930,0.595428693
ACH-001078,0.567846372
ACH-000196,0.747182031
ACH-000878,0.597133638
ACH-000624,0.490568949
ACH-000712,0.658313201
ACH-000223,0.610097106
ACH-000859,0.593038365
ACH-000725,0.595447555
ACH-000314,0.572722323
ACH-000691,0.708053205
ACH-000755,0.628171925
ACH-000731,0.47089708
ACH-000143,0.82728834
ACH-000975,0.464363154
ACH-000690,0.659136783
ACH-000150,0.515289137
ACH-000515,0.806506762
ACH-000575,0.575545259
ACH-000840,0.544669755
ACH-000276,0.46944401
ACH-000066,0.519089843
ACH-000667,0.555831712
ACH-000339,0.535658166
ACH-000872,0.551187138
ACH-000467,0.666289164
ACH-000668,0.561329456
ACH-000562,0.58544467
ACH-000029,0.606830741
ACH-000012,0.655808791
ACH-000454,0.686332451
ACH-000971,0.830652635
ACH-000997,0.783436689
ACH-000267,0.668554032
ACH-000190,0.515385916
ACH-000643,0.447653971
ACH-000990,0.489112044
ACH-000972,0.71903892
ACH-000954,0.679707616
ACH-000941,0.58016219
ACH-000996,0.623180784
ACH-000946,0.656036492
ACH-000831,0.612454257
ACH-000994,0.655509193
ACH-000984,0.651006415
ACH-000049,0.428751158
ACH-000005,0.847128363
ACH-000004,0.768573835
ACH-000625,0.523402904
ACH-000739,0.575786889
ACH-000542,0.618952932
ACH-000847,0.682715185
ACH-000061,0.829113111
ACH-000002,0.812039402
ACH-000797,0.187987354
ACH-000393,0.547376313
ACH-000721,0.667548253
ACH-000931,0.568221052
ACH-000642,0.426419521
ACH-000299,0.679793615
ACH-000861,0.455400828
ACH-000825,0.391737127
ACH-000613,0.634505088
ACH-000270,0.512031991
ACH-000094,0.578580081
ACH-000942,0.742934729
ACH-000088,0.225553905
ACH-000131,0.348971777
ACH-000199,0
ACH-000134,0.155537568
ACH-000083,0.19595988
ACH-000014,0.396353752
ACH-000184,0.235708666
ACH-000148,0.249006075
ACH-000240,0.136836309
ACH-000540,0.110205318
ACH-000069,0.836241222
ACH-000063,0.093608715
ACH-000539,0.261970859
ACH-000214,0.155351345
