"","EMT.epi.score","EMT.mes.score","EMT.score"
"ACH-000086",1.67066666666667,-0.428461538461538,-2.09912820512821
"ACH-000872",1.33833333333333,-0.711615384615385,-2.04994871794872
"ACH-000753",1.27266666666667,-0.769461538461538,-2.04212820512821
"ACH-000520",1.32633333333333,-0.705076923076923,-2.03141025641026
"ACH-000915",1.35633333333333,-0.635769230769231,-1.99210256410256
"ACH-000258",1.153,-0.834,-1.987
"ACH-000150",1.33766666666667,-0.6,-1.93766666666667
"ACH-000518",1.15633333333333,-0.742538461538462,-1.89887179487179
"ACH-000720",1.53066666666667,-0.339923076923077,-1.87058974358974
"ACH-000910",1.47766666666667,-0.379230769230769,-1.85689743589744
"ACH-000876",1.13166666666667,-0.694615384615385,-1.82628205128205
"ACH-000278",1.21333333333333,-0.586307692307692,-1.79964102564103
"ACH-000619",1.34633333333333,-0.452923076923077,-1.79925641025641
"ACH-000444",1.50633333333333,-0.279384615384615,-1.78571794871795
"ACH-000646",1.12,-0.648384615384615,-1.76838461538462
"ACH-000901",1.36166666666667,-0.401538461538462,-1.76320512820513
"ACH-000304",1.229,-0.495692307692308,-1.72469230769231
"ACH-000352",1.40866666666667,-0.293461538461538,-1.7021282051282
"ACH-000148",1.32533333333333,-0.359461538461538,-1.68479487179487
"ACH-000618",1.56066666666667,-0.0761538461538461,-1.63682051282051
"ACH-000573",1.301,-0.328461538461538,-1.62946153846154
"ACH-000648",1.084,-0.534307692307692,-1.61830769230769
"ACH-000677",1.131,-0.467384615384615,-1.59838461538462
"ACH-000277",1.44033333333333,-0.143769230769231,-1.58410256410256
"ACH-000585",0.869666666666667,-0.709846153846154,-1.57951282051282
"ACH-000665",1.26833333333333,-0.265,-1.53333333333333
"ACH-000787",1.02133333333333,-0.486923076923077,-1.50825641025641
"ACH-000905",1.07933333333333,-0.407461538461538,-1.48679487179487
"ACH-000869",1.22633333333333,-0.258,-1.48433333333333
"ACH-000662",1.26633333333333,-0.213384615384615,-1.47971794871795
"ACH-000711",1.19633333333333,-0.279076923076923,-1.47541025641026
"ACH-000264",1.034,-0.433538461538462,-1.46753846153846
"ACH-000696",1.19966666666667,-0.267307692307692,-1.46697435897436
"ACH-000280",1.07966666666667,-0.385461538461538,-1.46512820512821
"ACH-000486",0.985666666666667,-0.475307692307692,-1.46097435897436
"ACH-000522",1.13433333333333,-0.318230769230769,-1.4525641025641
"ACH-000274",1.20633333333333,-0.233692307692308,-1.44002564102564
"ACH-000569",1.20433333333333,-0.225,-1.42933333333333
"ACH-000841",0.983333333333333,-0.428307692307692,-1.41164102564103
"ACH-000395",1.16166666666667,-0.236076923076923,-1.39774358974359
"ACH-000859",1.05333333333333,-0.335307692307692,-1.38864102564103
"ACH-000550",1.02666666666667,-0.357,-1.38366666666667
"ACH-000545",0.79,-0.588076923076923,-1.37807692307692
"ACH-000013",1.23233333333333,-0.135846153846154,-1.36817948717949
"ACH-000638",1.03,-0.336538461538462,-1.36653846153846
"ACH-000291",0.892,-0.474076923076923,-1.36607692307692
"ACH-000732",1.04466666666667,-0.290769230769231,-1.3354358974359
"ACH-000348",0.660666666666667,-0.657923076923077,-1.31858974358974
"ACH-000747",0.977333333333333,-0.330692307692308,-1.30802564102564
"ACH-000688",1.014,-0.281153846153846,-1.29515384615385
"ACH-000647",0.668,-0.625923076923077,-1.29392307692308
"ACH-000308",1.07533333333333,-0.216461538461538,-1.29179487179487
"ACH-000153",0.911666666666667,-0.363615384615385,-1.27528205128205
"ACH-000425",0.665333333333333,-0.604230769230769,-1.2695641025641
"ACH-000849",1.04833333333333,-0.204769230769231,-1.25310256410256
"ACH-000663",0.808333333333333,-0.422230769230769,-1.2305641025641
"ACH-000858",1.15933333333333,-0.057,-1.21633333333333
"ACH-000757",1.01633333333333,-0.170384615384615,-1.18671794871795
"ACH-000488",0.664,-0.517153846153846,-1.18115384615385
"ACH-000724",0.813,-0.354923076923077,-1.16792307692308
"ACH-000143",0.919333333333333,-0.211153846153846,-1.13048717948718
"ACH-000929",0.838666666666667,-0.269538461538462,-1.10820512820513
"ACH-000766",0.789666666666667,-0.288076923076923,-1.07774358974359
"ACH-000785",0.897666666666667,-0.130846153846154,-1.02851282051282
"ACH-000713",0.945,-0.0806923076923077,-1.02569230769231
"ACH-000477",0.940666666666667,-0.0805384615384615,-1.02120512820513
"ACH-000257",0.794333333333333,-0.207538461538462,-1.0018717948718
"ACH-001075",0.599,-0.384615384615385,-0.983615384615385
"ACH-000846",1.09366666666667,0.115615384615385,-0.978051282051282
"ACH-000800",0.912333333333333,-0.0493846153846154,-0.961717948717949
"ACH-000261",1.43933333333333,0.533538461538462,-0.905794871794872
