CCLE_ID,depMapID,CCLE.hc.msi_del,CCLE.hc.total_del,CCLE.wes.msi_del,CCLE.wes.total_del,CCLE.wgs.msi_del,CCLE.wgs.total_del,GDSC.wes.msi_del,GDSC.wes.total_del,GDSC.msi.call,CCLE.MSI.call
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000770,258,284,NA,NA,NA,NA,3174,3719,MSI-H,inferred-MSI
SNGM_ENDOMETRIUM,ACH-000974,431,466,4648,5035,69124,89971,6733,7313,MSI-H,inferred-MSI
SNUC2A_LARGE_INTESTINE,ACH-000967,742,792,6745,7168,134940,157586,NA,NA,NA,inferred-MSI
HEC151_ENDOMETRIUM,ACH-000972,1061,1107,8123,8603,NA,NA,NA,NA,NA,inferred-MSI
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000953,609,663,NA,NA,NA,NA,3498,3868,MSS/MSI-L,inferred-MSI
SKUT1_SOFT_TISSUE,ACH-000939,499,534,NA,NA,65508,84023,6567,7174,MSI-H,inferred-MSI
OC316_OVARY,ACH-001145,584,620,NA,NA,NA,NA,NA,NA,NA,inferred-MSI
CW2_LARGE_INTESTINE,ACH-000998,875,925,NA,NA,NA,NA,8071,8784,MSI-H,inferred-MSI
SNU324_PANCREAS,ACH-000933,451,490,4058,4433,NA,NA,NA,NA,NA,inferred-MSI
HEC1B_ENDOMETRIUM,ACH-000941,431,476,NA,NA,NA,NA,NA,NA,NA,inferred-MSI
TGBC11TKB_STOMACH,ACH-000949,702,747,NA,NA,NA,NA,7262,7859,MSI-H,inferred-MSI
OVK18_OVARY,ACH-000947,589,629,NA,NA,81886,104645,5471,5959,MSI-H,inferred-MSI
SNU520_STOMACH,ACH-000908,794,844,5320,5694,NA,NA,NA,NA,NA,inferred-MSI
SNUC5_LARGE_INTESTINE,ACH-000970,803,840,NA,NA,NA,NA,8126,8737,MSI-H,inferred-MSI
SNUC4_LARGE_INTESTINE,ACH-000959,765,801,6396,6727,NA,NA,NA,NA,NA,inferred-MSI
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000874,197,222,NA,NA,NA,NA,1821,2183,MSI-H,inferred-MSI
HCT15_LARGE_INTESTINE,ACH-000997,683,735,NA,NA,45820,60851,5151,5625,MSI-H,inferred-MSI
CCK81_LARGE_INTESTINE,ACH-000963,1231,1290,NA,NA,148263,171783,10827,11570,MSI-H,inferred-MSI
RL952_ENDOMETRIUM,ACH-000965,708,741,NA,NA,77150,95364,7932,8578,MSI-H,inferred-MSI
MFE319_ENDOMETRIUM,ACH-000988,656,696,NA,NA,82754,101109,8248,8977,MSI-H,inferred-MSI
MFE296_ENDOMETRIUM,ACH-000879,534,565,3641,3942,43978,58866,5233,5715,MSI-H,inferred-MSI
HEC108_ENDOMETRIUM,ACH-000990,1175,1243,6453,6906,NA,NA,NA,NA,NA,inferred-MSI
HEC265_ENDOMETRIUM,ACH-000946,691,738,5278,5671,NA,NA,NA,NA,NA,inferred-MSI
HEC6_ENDOMETRIUM,ACH-000984,955,1012,6291,6730,NA,NA,NA,NA,NA,inferred-MSI
SKOV3_OVARY,ACH-000811,284,326,NA,NA,18844,33250,2274,2692,MSI-H,inferred-MSI
HCC1569_BREAST,ACH-000930,321,354,NA,NA,67080,104311,3902,4578,MSI-H,inferred-MSI
JHUEM1_ENDOMETRIUM,ACH-000928,335,357,NA,NA,69584,90337,NA,NA,NA,inferred-MSI
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000914,448,482,2893,3167,NA,NA,3886,4312,MSI-H,inferred-MSI
FTC238_THYROID,ACH-000897,230,249,1282,1434,NA,NA,NA,NA,NA,inferred-MSI
GP2D_LARGE_INTESTINE,ACH-000982,712,745,NA,NA,133966,152765,NA,NA,NA,inferred-MSI
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,ACH-000961,698,735,NA,NA,100467,123861,1211,1751,NA,inferred-MSI
SNU349_KIDNEY,ACH-000907,399,442,2696,3071,NA,NA,NA,NA,NA,inferred-MSI
COLO684_ENDOMETRIUM,ACH-000864,301,323,NA,NA,NA,NA,4910,5329,MSI-H,inferred-MSI
SNU1040_LARGE_INTESTINE,ACH-000999,825,862,NA,NA,NA,NA,8359,8946,MSS/MSI-L,inferred-MSI
SNU175_LARGE_INTESTINE,ACH-000989,667,719,4057,4391,NA,NA,5581,6115,MSI-H,inferred-MSI
SNU407_LARGE_INTESTINE,ACH-000955,596,634,NA,NA,109436,131303,7717,8223,MSI-H,inferred-MSI
HEC59_ENDOMETRIUM,ACH-000994,828,869,7972,8484,NA,NA,NA,NA,NA,inferred-MSI
NCIH1048_LUNG,ACH-000866,362,424,NA,NA,45263,82597,4579,5575,MSI-H,inferred-MSI
DV90_LUNG,ACH-000925,875,917,5551,5870,NA,NA,NA,NA,NA,inferred-MSI
SNU1_STOMACH,ACH-000932,870,914,NA,NA,87018,107903,6513,7050,MSI-H,inferred-MSI
RKO_LARGE_INTESTINE,ACH-000943,1126,1224,NA,NA,137759,180356,7993,8914,MSI-H,inferred-MSI
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000960,339,370,NA,NA,NA,NA,3377,3986,MSI-H,inferred-MSI
OC314_OVARY,ACH-000962,NA,NA,NA,NA,NA,NA,6795,7285,MSI-H,inferred-MSI
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001127,669,710,NA,NA,NA,NA,5068,5545,MSI-H,inferred-MSI
COLO704_OVARY,ACH-001042,372,398,NA,NA,NA,NA,NA,NA,NA,inferred-MSI
EFO27_OVARY,ACH-000936,677,730,NA,NA,55626,72285,5437,5906,MSI-H,inferred-MSI
IGROV1_OVARY,ACH-000966,916,967,NA,NA,99541,118846,6791,7273,MSI-H,inferred-MSI
MDAPCA2B_PROSTATE,ACH-000952,447,511,4155,4854,NA,NA,NA,NA,NA,inferred-MSI
TOV21G_OVARY,ACH-000885,640,675,4049,4303,NA,NA,5548,5946,MSI-H,inferred-MSI
HCT116_LARGE_INTESTINE,ACH-000971,887,922,NA,NA,109727,127062,8375,8862,MSI-H,inferred-MSI
DU145_PROSTATE,ACH-000979,508,568,NA,NA,34605,51622,4134,4697,MSI-H,inferred-MSI
SKMEL2_SKIN,ACH-001190,169,195,NA,NA,25669,42252,1850,2179,MSI-H,inferred-MSI
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000782,113,130,1526,1772,NA,NA,NA,NA,NA,inferred-MSI
EN_ENDOMETRIUM,ACH-000978,483,513,NA,NA,NA,NA,4251,4704,MSS/MSI-L,inferred-MSI
LNCAPCLONEFGC_PROSTATE,ACH-000977,299,334,3010,3303,NA,NA,5004,5582,MSI-H,inferred-MSI
LS411N_LARGE_INTESTINE,ACH-000985,978,1031,NA,NA,120178,140405,7451,7935,MSI-H,inferred-MSI
HEC1A_ENDOMETRIUM,ACH-000954,340,387,NA,NA,46155,67331,NA,NA,NA,inferred-MSI
JHUEM2_ENDOMETRIUM,ACH-000909,639,711,3431,3741,NA,NA,NA,NA,NA,inferred-MSI
NCIH1155_LUNG,ACH-000980,177,187,NA,NA,NA,NA,1371,1590,MSS/MSI-L,inferred-MSI
LOVO_LARGE_INTESTINE,ACH-000950,732,758,NA,NA,104130,120954,8475,8971,MSI-H,inferred-MSI
22RV1_PROSTATE,ACH-000956,865,912,4722,4999,79524,96030,6982,7470,MSI-H,inferred-MSI
SW48_LARGE_INTESTINE,ACH-000958,1050,1099,NA,NA,100703,118488,7644,8100,MSI-H,inferred-MSI
LS180_LARGE_INTESTINE,ACH-000957,810,851,NA,NA,116930,135456,10016,10731,MSI-H,inferred-MSI
DOV13_OVARY,ACH-001063,509,555,3045,3264,NA,NA,1661,2776,MSS/MSI-L,inferred-MSI
NUGC3_STOMACH,ACH-000911,530,560,NA,NA,37510,51069,4096,4517,MSI-H,inferred-MSI
IM95_STOMACH,ACH-000919,1136,1195,NA,NA,90872,110595,7517,8091,MSS/MSI-L,inferred-MSI
KM12_LARGE_INTESTINE,ACH-000969,701,725,NA,NA,106810,124063,8062,8616,MSI-H,inferred-MSI
AN3CA_ENDOMETRIUM,ACH-000940,469,513,NA,NA,89782,107980,7768,8330,MSI-H,inferred-MSI
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000795,192,218,NA,NA,NA,NA,2605,3064,MSI-H,inferred-MSI
