"","stripped_cell_line_name","CCLE_Name","alias","COSMIC_ID","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","sex","source","Achilles_n_replicates","cell_line_NNMD","culture_type","culture_medium","cas9_activity","RRID","sample_collection_site","primary_or_metastasis","disease","disease_subtype","age","Sanger_model_ID","additional_info","ISG.score"
"ACH-000001","NIHOVCAR3","NIHOVCAR3_OVARY","OVCAR3",905933,"ovary","ovary_adenocarcinoma","high_grade_serous","","Female","ATCC",NA,NA,"","","","CVCL_0465","ascites","Metastasis","Ovarian Cancer","Adenocarcinoma, high grade serous",60,"SIDM00105","",3.20776315789474
"ACH-000002","HL60","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",905938,"blood","AML","M3","","Female","ATCC",NA,NA,"","","","CVCL_0002","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35,"SIDM00829","",2.30705263157895
"ACH-000003","CACO2","CACO2_LARGE_INTESTINE","CACO2, CaCo-2",NA,"colorectal","colorectal_adenocarcinoma","","","Male","ATCC",NA,NA,"","","","CVCL_0025","Colon","","Colon/Colorectal Cancer","Adenocarcinoma",NA,"SIDM00891","",3.30444736842105
"ACH-000004","HEL","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",907053,"blood","AML","M6","","Male","DSMZ",2,-3.079202028,"Suspension","RPMI-1640: 10%FBS","47.6","CVCL_0001","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,"SIDM00594","",3.41410526315789
"ACH-000005","HEL9217","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","AML","M6","","Male","ATCC",2,-2.404409173,"Semi-adherent","RPMI; 10% FBS","13.4","CVCL_2481","bone_marrow","","Leukemia","Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,"SIDM00593","",3.66960526315789
"ACH-000006","MONOMAC6","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",908148,"blood","AML","M5","","Male","DSMZ",NA,NA,"","","","CVCL_1426","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",64,"SIDM01023","",3.74089473684211
"ACH-000007","LS513","LS513_LARGE_INTESTINE","",907795,"colorectal","colorectal_adenocarcinoma","","","Male","ATCC",2,-2.586707623,"Adherent","RPMI 1640 + 10% FBS","52.3","CVCL_1386","large_intestine","Primary","Colon/Colorectal Cancer","Adenocarcinoma",63,"SIDM00677","",2.52036842105263
"ACH-000008","A101D","A101D_SKIN","",910921,"skin","melanoma","","","Male","ATCC",NA,NA,"","","","CVCL_1057","skin","","Skin Cancer","Melanoma",56,"SIDM00801","",3.35342105263158
"ACH-000009","C2BBE1","C2BBE1_LARGE_INTESTINE","",910700,"colorectal","colorectal_adenocarcinoma","","","Male","ATCC",3,-4.140109604,"Adherent","D10+ITS+Glu","5.8","CVCL_1096","Colon","Primary","Colon/Colorectal Cancer","Adenocarcinoma",72,"SIDM01233","",2.72018421052632
"ACH-000010","NCIH2077","NCIH2077_LUNG","NCI-H1581",NA,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","Academic lab",NA,NA,"","","","CVCL_5157","lung","","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"","",2.30055263157895
"ACH-000011","253J","253J_URINARY_TRACT","",NA,"urinary_tract","bladder_carcinoma","","","Male","KCLB",1,-3.18037938,"Adherent","DMEM: 90.0%","11","CVCL_7935","lymph_node","Metastasis","Bladder Cancer","Carcinoma",53,"","",3.19623684210526
"ACH-000012","HCC827","HCC827_LUNG","",1240146,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","ATCC",3,-4.323350202,"Adherentepithelialdensity >30%","RPMI; 10% FBS","12.7","CVCL_2063","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,"SIDM01067","",3.24281578947368
"ACH-000013","ONCODG1","ONCODG1_OVARY","",NA,"ovary","ovary_adenocarcinoma","high_grade_serous","","Female","DSMZ",2,-5.319862199,"Adherent","RPMI; 10% FBS","8","CVCL_1882","ascites","Metastasis","Ovarian Cancer","Adenocarcinoma, high grade serous",60,"SIDM00093","",2.90076315789474
"ACH-000014","HS294T","HS294T_SKIN","A101D, Hs 294.T",NA,"skin","melanoma","","","Male","ATCC",2,-3.484986488,"Adherent","DMEM: 90.0%; 10%FBS","15.1","CVCL_0331","lymph_node","Metastasis","Skin Cancer","Melanoma",56,"SIDM00800","",3.53292105263158
"ACH-000015","NCIH1581","NCIH1581_LUNG","NCI-H2077",908471,"lung","NSCLC","NSCLC_large_cell","","Male","ATCC",2,-4.226156938,"Adherent","DMEM:F12 (1:1); 5% FBS","52.8","CVCL_1479","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44,"SIDM00748","",2.40263157894737
"ACH-000016","SLR21","SLR21_KIDNEY","",NA,"kidney","renal_cell_carcinoma","","","Unknown","Academic lab",NA,NA,"","","","CVCL_V607","kidney","Metastasis","Kidney Cancer","Renal Cell Carcinoma",NA,"","",3.1885
