"","TNFA_SIGNALING_VIA_NFKB","HYPOXIA","CHOLESTEROL_HOMEOSTASIS","MITOTIC_SPINDLE","WNT_BETA_CATENIN_SIGNALING","TGF_BETA_SIGNALING","IL6_JAK_STAT3_SIGNALING","DNA_REPAIR","G2M_CHECKPOINT","APOPTOSIS","NOTCH_SIGNALING","ADIPOGENESIS","ESTROGEN_RESPONSE_EARLY","ESTROGEN_RESPONSE_LATE","ANDROGEN_RESPONSE","MYOGENESIS","PROTEIN_SECRETION","INTERFERON_ALPHA_RESPONSE","INTERFERON_GAMMA_RESPONSE","APICAL_JUNCTION","APICAL_SURFACE","HEDGEHOG_SIGNALING","COMPLEMENT","UNFOLDED_PROTEIN_RESPONSE","PI3K_AKT_MTOR_SIGNALING","MTORC1_SIGNALING","E2F_TARGETS","MYC_TARGETS_V1","MYC_TARGETS_V2","EPITHELIAL_MESENCHYMAL_TRANSITION","INFLAMMATORY_RESPONSE","XENOBIOTIC_METABOLISM","FATTY_ACID_METABOLISM","OXIDATIVE_PHOSPHORYLATION","GLYCOLYSIS","REACTIVE_OXIGEN_SPECIES_PATHWAY","P53_PATHWAY","UV_RESPONSE_UP","UV_RESPONSE_DN","ANGIOGENESIS","HEME_METABOLISM","COAGULATION","IL2_STAT5_SIGNALING","BILE_ACID_METABOLISM","PEROXISOME","ALLOGRAFT_REJECTION","SPERMATOGENESIS","KRAS_SIGNALING_UP","KRAS_SIGNALING_DN","PANCREAS_BETA_CELLS"
"ACH-000001",-0.0352979797979798,0.0975721649484536,0.244301369863014,0.297818181818182,0.136380952380952,0.425666666666667,0.0447931034482759,0.0886595744680851,0.153943005181347,0.105295597484277,0.3041875,0.111078947368421,0.273497461928934,0.262116161616162,0.068659793814433,0.223819095477387,0.268284210526316,0.00626881720430107,-0.0528585858585859,0.280087628865979,0.306860465116279,0.4186,0.0941846153846154,0.0958899082568807,0.207288461538462,0.136751269035533,0.0608877551020408,0.148548223350254,0.183965517241379,0.0808426395939086,0.0554162436548223,0.0313618090452261,0.103596153846154,0.0992732240437158,0.129626262626263,-0.131586956521739,0.0694974358974359,0.221902597402597,0.182271428571429,0.0568888888888889,0.120046391752577,0.160852941176471,0.0704051282051282,0.0759642857142857,0.0574174757281553,-0.0407437185929648,0.273791044776119,0.122103092783505,0.322333333333333,0.0887
"ACH-000002",-0.745151515151515,-0.81320618556701,-1.0101095890411,-1.20519191919192,-1.02402380952381,-1.20972222222222,-0.356528735632184,-0.475333333333333,-0.772352331606218,-0.807911949685535,-0.9655625,-0.687926315789474,-0.832015228426396,-0.656823232323232,-0.936567010309278,-0.856035175879397,-1.46234736842105,-0.770688172043011,-0.574510101010101,-0.928324742268041,-0.760302325581395,-0.907171428571429,-0.551825641025641,-0.748238532110092,-0.886788461538462,-0.901431472081218,-0.579719387755102,-0.334030456852792,0.217637931034483,-0.819751269035533,-0.398934010152284,-0.710110552763819,-0.788519230769231,-0.447087431693989,-0.865712121212121,-0.149782608695652,-0.745820512820513,-0.740051948051948,-1.08706428571429,-0.26475,-0.934015463917526,-0.675,-0.572887179487179,-0.794741071428571,-0.845902912621359,-0.0358090452261306,-0.513559701492537,-0.397371134020619,-0.556677248677249,-0.41945
"ACH-000003",0.0683333333333333,-0.0723092783505155,0.329219178082192,-0.067,-0.0820714285714286,-0.208907407407407,0.234310344827586,-0.144829787234043,-0.150253886010363,0.117270440251572,-0.0140625,0.124357894736842,0.263380710659898,0.207474747474747,0.154,0.0874371859296482,0.0186526315789474,-0.0679462365591398,-0.0713080808080808,0.0571701030927835,-0.0108837209302325,0.0226285714285714,0.209712820512821,0.00777064220183486,0.0332403846153846,0.172842639593909,-0.0885102040816327,0.0691167512690355,0.332586206896552,-0.0748527918781726,0.0287969543147208,0.37329648241206,0.234903846153846,0.158732240437158,0.0339090909090909,0.0288478260869565,-0.00688717948717948,0.220558441558442,-0.0907428571428571,0.741916666666667,-0.0966701030927835,0.511551470588235,0.167092307692308,0.335223214285714,0.142660194174757,0.00200502512562814,-0.111373134328358,0.101845360824742,0.0193862433862434,0.0195
"ACH-000004",-0.331848484848485,-0.264577319587629,-0.416739726027397,-0.0121767676767677,-0.0812857142857143,-0.325981481481481,0.281264367816092,0.178460992907801,0.215658031088083,-0.085440251572327,-0.40375,0.125989473684211,-0.133390862944162,-0.0871565656565657,0.0150309278350515,-0.187522613065327,-0.257536842105263,0.194827956989247,0.177878787878788,-0.131788659793814,-0.154279069767442,-0.322657142857143,0.102302564102564,0.193834862385321,0.104201923076923,0.121492385786802,0.261683673469388,0.409329949238579,0.765051724137931,-0.532578680203046,0.0933401015228427,-0.0592814070351759,0.0757628205128205,0.020224043715847,-0.260318181818182,0.0582608695652174,-0.238353846153846,0.0821038961038961,-0.279071428571429,-0.257277777777778,1.27771649484536,0.0509926470588235,0.219025641025641,0.0734196428571428,0.0916116504854369,0.486592964824121,0.0212537313432836,0.0942525773195876,0.0512645502645503,0.15345
"ACH-000005",-0.251484848484848,-0.176618556701031,-0.221109589041096,0.439671717171717,-0.00999999999999999,-0.0780555555555556,0.397494252873563,0.415276595744681,0.884917098445596,0.0559496855345912,-0.2660625,0.297826315789474,-0.0483553299492386,-0.0119545454545454,0.311226804123711,-0.248557788944724,0.201926315789474,0.370677419354839,0.364015151515152,-0.111927835051546,-0.0414418604651163,-0.183571428571429,0.258887179487179,0.411733944954128,0.376211538461538,0.461096446700508,0.979780612244898,0.948451776649746,1.13012068965517,-0.520548223350254,0.201522842639594,-0.0372562814070352,0.280839743589744,0.219306010928962,-0.017040404040404,0.234673913043478,-0.127035897435897,0.235428571428571,-0.0650857142857143,-0.235222222222222,1.40790206185567,0.0627573529411765,0.327189743589744,0.125910714285714,0.25878640776699,0.645532663316583,0.303014925373134,0.203376288659794,0.0484550264550265,0.2748
"ACH-000006",0.112570707070707,-0.0622474226804124,0.225945205479452,0.120232323232323,-0.0154285714285714,-0.0540925925925926,0.583885057471264,0.441368794326241,0.573875647668394,0.0834968553459119,-0.2689375,0.221573684210526,-0.238345177664975,-0.0561515151515152,0.10819587628866,-0.185949748743719,-0.00701052631578947,0.239806451612903,0.330964646464646,-0.191005154639175,-0.241697674418605,-0.203085714285714,0.187615384615385,0.592119266055046,0.364221153846154,0.385802030456853,0.579295918367347,0.546568527918782,0.634827586206896,-0.429969543147208,0.458228426395939,-0.0164522613065327,0.254538461538462,0.211218579234973,0.000207070707070708,0.241369565217391,0.110030769230769,0.193603896103896,-0.137864285714286,-0.334805555555556,0.121510309278351,-0.106,0.201158974358974,0.0324642857142857,0.223291262135922,0.629140703517588,0.235514925373134,0.197283505154639,-0.113433862433862,-0.140975
"ACH-000007",-0.220207070707071,-0.402618556701031,0.0917945205479452,-0.372580808080808,0.27597619047619,-0.467074074074074,-0.206781609195402,-0.25168085106383,-0.439886010362694,-0.0981761006289308,0.0353125,-0.0357052631578947,0.0553908629441624,0.158656565656566,-0.179020618556701,-0.247412060301508,-0.459252631578947,-0.222645161290323,-0.298050505050505,-0.219314432989691,-0.25453488372093,-0.245257142857143,-0.169230769230769,-0.289082568807339,-0.232365384615385,-0.332395939086294,-0.435336734693878,-0.217847715736041,0.185689655172414,-0.563187817258883,-0.224365482233503,0.0218241206030151,0.15975,0.0488579234972678,-0.120308080808081,-0.342782608695652,0.124810256410256,-0.176779220779221,-0.369042857142857,-0.36325,-0.24679381443299,-0.0668823529411765,-0.179866666666667,0.0886160714285714,-0.00925242718446602,-0.229914572864322,-0.279014925373134,-0.0457525773195876,-0.157291005291005,0.031975
"ACH-000008",0.49220202020202,0.225443298969072,-0.0146438356164384,0.110262626262626,0.0693095238095238,0.232907407407407,0.170586206896552,0.370354609929078,0.12420725388601,0.253981132075472,0.30634375,0.411215789473684,0.0928071065989848,0.021010101010101,0.211536082474227,0.171316582914573,0.396431578947368,0.0954193548387097,0.157166666666667,0.127427835051546,0.0735581395348837,0.434,0.290025641025641,0.320981651376147,0.275596153846154,0.408350253807107,0.13244387755102,0.326868020304569,0.685172413793103,0.528081218274112,0.251233502538071,0.170814070351759,0.169538461538462,0.431551912568306,0.301035353535354,0.471391304347826,0.182882051282051,0.304616883116883,0.114021428571429,0.190805555555556,0.192092783505155,0.423022058823529,0.278723076923077,0.112732142857143,0.208592233009709,0.116030150753769,0.112828358208955,0.219412371134021,-0.0594497354497354,-0.020825
"ACH-000009",0.071540404040404,0.0189020618556701,0.413630136986301,0.5,0.163214285714286,0.00746296296296297,0.168402298850575,0.149978723404255,0.52959067357513,0.188176100628931,0.25025,0.395742105263158,0.397284263959391,0.291909090909091,0.446412371134021,0.12051256281407,0.541084210526316,-0.336924731182796,-0.192318181818182,0.147958762886598,0.102441860465116,0.170942857142857,0.26651282051282,0.43897247706422,0.355480769230769,0.564045685279188,0.479765306122449,0.635918781725888,0.919224137931035,-0.0858680203045685,0.0221928934010152,0.459281407035176,0.453467948717949,0.455404371584699,0.288257575757576,0.242717391304348,0.0859282051282051,0.369961038961039,0.191757142857143,0.680555555555556,0.178979381443299,0.486595588235294,0.252076923076923,0.375919642857143,0.328300970873786,-0.0229497487437186,0.130582089552239,0.157448453608247,0.035989417989418,0.1374
"ACH-000010",-0.525489898989899,-0.0448711340206186,0.501287671232877,-0.0640606060606061,0.30247619047619,-0.366185185185185,-0.373,0.129687943262411,0.223668393782383,-0.312364779874214,-0.1576875,0.0741789473684211,-0.306005076142132,-0.236121212121212,-0.126731958762887,-0.00711557788944723,-0.201642105263158,-0.724989247311828,-0.493156565656566,-0.0523092783505155,-0.213837209302326,0.0585714285714286,-0.315671794871795,-0.0821743119266055,0.0424807692307692,0.119822335025381,0.246321428571429,0.325472081218274,0.20201724137931,-0.202690355329949,-0.299868020304569,-0.00183417085427136,0.218782051282051,0.260754098360656,0.0815,-0.0735,-0.349179487179487,-0.0832077922077922,-0.12575,-0.0492222222222222,-0.0573298969072165,-0.156235294117647,-0.22834358974359,0.113535714285714,0.117398058252427,-0.318889447236181,0.321402985074627,-0.297809278350515,0.0575873015873016,0.060975
"ACH-000011",0.0493080808080808,-0.0605257731958763,0.12058904109589,-0.478808080808081,-0.22852380952381,-0.430592592592593,0.00842528735632184,-0.23977304964539,-0.773010362694301,-0.172930817610063,-0.12509375,-0.0530947368421053,-0.106964467005076,-0.109833333333333,-0.168092783505155,-0.0397386934673367,-0.298442105263158,-0.0308279569892473,-0.0353080808080808,0.0154329896907217,0.0586046511627907,0.200342857142857,-0.162066666666667,-0.345082568807339,-0.419451923076923,-0.267852791878173,-0.722357142857143,-0.545045685279188,-0.241706896551724,0.0964568527918782,-0.00566497461928934,-0.00506532663316583,0.0531025641025641,0.0128360655737705,-0.0799444444444444,0.00867391304347826,0.0567384615384615,-0.177422077922078,-0.133435714285714,-0.0726111111111111,-0.27839175257732,0.0255147058823529,-0.0546769230769231,0.113232142857143,-0.00031067961165048,-0.0992462311557789,-0.281567164179104,-0.177015463917526,-0.0540846560846561,0.017075
"ACH-000012",0.353287878787879,0.398675257731959,0.160260273972603,0.20120202020202,-0.142761904761905,0.203111111111111,0.049367816091954,-0.0279716312056738,0.23419170984456,0.0966603773584906,-0.11840625,-0.00854736842105263,0.199781725888325,0.123666666666667,0.253659793814433,-0.0211708542713568,0.0525052631578947,0.0401505376344086,0.0620151515151515,0.213510309278351,-0.0222558139534884,-0.0551714285714286,0.0235282051282051,0.0434770642201835,0.268836538461538,0.35238578680203,0.176397959183673,0.353715736040609,0.7845,0.0756142131979695,0.0813502538071066,-0.0235326633165829,0.0714294871794872,0.00880327868852459,0.318,0.0907173913043478,0.00708717948717949,0.0585584415584416,0.187635714285714,0.0835,-0.0531958762886598,-0.0446838235294118,0.0202410256410256,-0.242580357142857,0.00711650485436893,0.0480402010050251,-0.086955223880597,0.0590567010309278,-0.123439153439153,-0.228925
"ACH-000013",-0.0756919191919192,0.0367577319587629,0.404739726027397,0.0253585858585859,-0.0291190476190476,0.0288518518518518,0.00649425287356322,-0.141312056737589,-0.134476683937824,0.00277358490566038,0.1153125,0.000931578947368421,0.200030456852792,0.241954545454545,-0.0184020618556701,0.138909547738693,-0.102957894736842,-0.227462365591398,-0.213308080808081,0.174907216494845,0.240837209302326,0.181428571428571,0.00287692307692308,-0.177798165137615,0.0197980769230769,0.0122182741116751,-0.169438775510204,-0.0981218274111675,-0.0866379310344828,0.0150507614213198,-0.0541827411167513,-0.0527638190954774,-0.0586602564102564,-0.153677595628415,-0.00991919191919192,-0.317804347826087,-0.0506974358974359,0.125058441558442,-0.0298571428571429,0.0265,-0.0715927835051546,0.182169117647059,-0.00974871794871795,0.00885714285714286,-0.0749902912621359,-0.128884422110553,0.0550149253731343,-0.0206546391752577,0.295222222222222,-0.1207
"ACH-000014",0.362368686868687,0.379546391752577,0.302260273972603,0.00401515151515152,0.238619047619048,0.252759259259259,0.163758620689655,0.433978723404255,-0.211559585492228,0.274849056603774,0.339125,0.417552631578947,0.122111675126904,0.0583787878787879,0.19560824742268,0.446939698492462,0.596747368421053,0.173247311827957,0.187752525252525,0.290082474226804,0.253581395348837,0.437428571428571,0.340158974358974,0.301963302752294,0.203384615384615,0.293893401015228,-0.258923469387755,-0.0874263959390863,0.273551724137931,0.795233502538071,0.278218274111675,0.189261306532663,0.171794871794872,0.178857923497268,0.407878787878788,0.232130434782609,0.346276923076923,0.261928571428571,0.264864285714286,0.344527777777778,0.324376288659794,0.551735294117647,0.295374358974359,0.242178571428571,0.262592233009709,0.10321608040201,0.117477611940299,0.286876288659794,0.143910052910053,0.006225
"ACH-000015",-0.571520202020202,-0.452309278350515,-0.054958904109589,-0.102313131313131,0.702880952380952,-0.209277777777778,-0.420701149425287,0.366652482269504,0.184445595854922,-0.299522012578616,-0.1254375,0.0477789473684211,-0.253776649746193,-0.137116161616162,-0.28039175257732,0.100793969849246,-0.317947368421053,-0.644483870967742,-0.459075757575758,-0.0413659793814433,-0.245372093023256,-0.032,-0.278984615384615,-0.0890733944954128,-0.0545673076923077,-0.136015228426396,0.294770408163265,0.341451776649746,0.604206896551724,-0.214842639593909,-0.330091370558376,0.0243768844221105,0.0861089743589744,0.332284153005464,-0.0800252525252525,-0.2075,-0.343317948717949,0.0566558441558442,-0.255807142857143,-0.159861111111111,-0.0858814432989691,-0.108933823529412,-0.183666666666667,0.0949196428571429,0.154174757281553,-0.293050251256281,0.33915671641791,-0.281551546391753,0.131756613756614,0.153075
"ACH-000016",0.267676767676768,0.183876288659794,0.078013698630137,-0.432888888888889,-0.126309523809524,0.0890555555555556,0.165459770114943,-0.302078014184397,-0.930958549222798,0.0473270440251572,-0.0423125,0.0312210526315789,0.071005076142132,0.0510151515151515,-0.0468453608247423,0.136522613065327,-0.0712210526315789,0.246096774193548,0.193631313131313,0.130654639175258,0.517953488372093,0.332285714285714,0.0974564102564103,-0.515247706422018,-0.241673076923077,-0.369578680203046,-0.967989795918367,-0.778939086294416,-0.790827586206897,0.273578680203046,0.131289340101523,0.279015075376884,0.133641025641026,-0.398967213114754,0.135080808080808,0.230304347826087,0.101082051282051,-0.122279220779221,0.0370785714285714,0.280527777777778,-0.00462371134020619,0.309169117647059,0.0695794871794872,0.321446428571429,0.182883495145631,0.0242663316582915,-0.324634328358209,0.0666855670103093,0.00471957671957672,0.15465
"ACH-000017",-0.240414141414141,-0.0975979381443299,-0.00534246575342467,-0.282040404040404,-0.251857142857143,-0.230111111111111,-0.314977011494253,-0.210553191489362,-0.241761658031088,-0.222647798742138,-0.097375,0.289,0.246370558375635,0.224020202020202,-0.108185567010309,-0.0730552763819095,-0.0652,-0.312408602150538,-0.275722222222222,-0.297788659793814,0.0824186046511628,-0.526314285714286,-0.247666666666667,-0.132018348623853,0.0480961538461539,-0.0863401015228426,-0.174979591836735,-0.234451776649746,-0.0103448275862069,-0.503934010152284,-0.291969543147208,-0.0104321608040201,0.189608974358974,0.344874316939891,0.0285959595959596,0.136695652173913,-0.0517025641025641,0.0231688311688312,-0.273514285714286,-0.392694444444444,-0.219180412371134,-0.267617647058824,-0.212435897435897,0.129607142857143,0.177388349514563,-0.301909547738693,-0.196216417910448,-0.319458762886598,-0.0646719576719577,-0.2981
"ACH-000018",0.197909090909091,0.245324742268041,0.239534246575342,0.717060606060606,0.105761904761905,0.471740740740741,0.0541724137931034,0.449212765957447,0.782533678756477,0.269566037735849,0.07409375,0.0667421052631579,0.0349086294416244,0.020959595959596,0.290381443298969,0.0232261306532663,0.395810526315789,0.228720430107527,0.0935505050505051,0.362572164948454,0.154139534883721,-0.0613428571428572,0.199092307692308,0.285642201834862,0.406759615384615,0.304071065989848,0.770474489795918,0.536786802030457,0.378879310344828,0.339964467005076,0.132390862944162,0.00953266331658291,0.171967948717949,0.123901639344262,0.260484848484848,0.253608695652174,0.213912820512821,0.0990519480519481,0.419307142857143,0.110027777777778,0.116659793814433,0.0569779411764706,0.0427692307692308,-0.0558392857142857,0.166640776699029,-0.00141206030150754,0.0322313432835821,-0.0259072164948454,-0.215941798941799,-0.065025
"ACH-000019",-0.334212121212121,-0.0647422680412371,0.177219178082192,-0.281045454545455,-0.33197619047619,-0.257444444444444,-0.312034482758621,0.113340425531915,-0.160274611398964,-0.26574213836478,-0.16803125,0.138247368421053,1.03704568527919,0.907530303030303,0.0869484536082474,-0.085286432160804,0.183157894736842,-0.503075268817204,-0.382545454545455,-0.215659793814433,0.088,-0.269428571428571,-0.239784615384615,0.243348623853211,0.0753269230769231,0.123,-0.0590510204081633,0.0639746192893401,0.160913793103448,-0.370035532994924,-0.317624365482233,0.0397638190954774,0.0468076923076923,0.274595628415301,0.0713636363636364,-0.0426956521739131,0.0685641025641026,0.0136428571428571,-0.182807142857143,-0.0234166666666667,-0.139025773195876,-0.222941176470588,-0.268994871794872,0.00198214285714286,0.0812135922330097,-0.36891959798995,-0.0633731343283582,-0.326958762886598,-0.0346560846560847,-0.16785
"ACH-000020",-0.241712121212121,-0.278335051546392,-0.287876712328767,0.351510101010101,0.210404761904762,-0.174907407407407,0.0674482758620689,0.320531914893617,0.727476683937824,-0.0484716981132076,-0.523625,-0.156126315789474,-0.30653807106599,-0.221888888888889,-0.0224948453608247,-0.201718592964824,-0.396136842105263,0.25,0.308419191919192,-0.203360824742268,-0.000651162790697675,-0.297885714285714,-0.0168512820512821,0.00665137614678898,0.212019230769231,-0.11341116751269,0.896576530612245,0.49605076142132,0.659379310344828,-0.672507614213198,0.147908629441624,-0.271105527638191,-0.212192307692308,-0.253295081967213,-0.284161616161616,0.202782608695652,-0.0786,0.00779220779220779,-0.285378571428571,-0.574833333333333,-0.0399432989690722,-0.407301470588235,-0.0148923076923077,-0.109151785714286,-0.0706407766990291,0.4901608040201,0.105723880597015,0.0344329896907217,0.0297301587301587,-0.1909
"ACH-000021",-0.056510101010101,-0.1325,-0.211479452054795,-0.163525252525253,-0.4825,-0.208814814814815,-0.0889655172413793,0.36545390070922,0.0798652849740933,-0.0827044025157233,-0.2865625,-0.212710526315789,-0.0941827411167513,-0.0188080808080808,-0.0208453608247423,-0.0168894472361809,-0.167442105263158,-0.299860215053763,-0.129111111111111,-0.132268041237113,-0.476046511627907,-0.3648,-0.147415384615385,-0.173981651376147,-0.0838557692307692,-0.138817258883249,0.217372448979592,0.129401015228426,-0.188396551724138,-0.155654822335025,-0.207862944162437,-0.114698492462312,-0.315480769230769,0.0226885245901639,0.0203484848484848,0.0946086956521739,-0.0727794871794872,-0.0546298701298701,-0.00727142857142858,-0.19725,-0.168247422680412,-0.144845588235294,-0.169148717948718,-0.0391607142857143,-0.125300970873786,-0.0883517587939699,0.168477611940299,-0.061479381443299,-0.0176878306878307,-0.234775
