"","Freq.del","Freq.amp","burden"
"ACH-000695",55,28,83
"ACH-000246",87,23,110
"ACH-000436",88,24,112
"ACH-000600",94,26,120
"ACH-000479",110,34,144
"ACH-000215",113,34,147
"ACH-000957",69,79,148
"ACH-000272",130,24,154
"ACH-000939",70,88,158
"ACH-000835",69,91,160
"ACH-000950",78,82,160
"ACH-000045",67,94,161
"ACH-000657",71,93,164
"ACH-000928",136,28,164
"ACH-000054",82,84,166
"ACH-000658",142,24,166
"ACH-000856",72,95,167
"ACH-000348",80,88,168
"ACH-000075",141,27,168
"ACH-000988",83,87,170
"ACH-000958",86,86,172
"ACH-000018",71,101,172
"ACH-000947",73,114,187
"ACH-001061",161,28,189
"ACH-000936",73,117,190
"ACH-000227",79,111,190
"ACH-000078",71,120,191
"ACH-000978",91,101,192
"ACH-000189",90,104,194
"ACH-000025",159,35,194
"ACH-000968",78,117,195
"ACH-000098",77,122,199
"ACH-000953",107,92,199
"ACH-000593",164,35,199
"ACH-000167",172,29,201
"ACH-000014",120,82,202
"ACH-000684",77,127,204
"ACH-001239",172,32,204
"ACH-000464",81,125,206
"ACH-001020",108,101,209
"ACH-000631",105,104,209
"ACH-000550",170,39,209
"ACH-000123",107,102,209
"ACH-000361",105,106,211
"ACH-000913",110,102,212
"ACH-000143",111,102,213
"ACH-000973",85,128,213
"ACH-000943",123,91,214
"ACH-000512",109,106,215
"ACH-000570",88,128,216
"ACH-000335",86,131,217
"ACH-000782",111,107,218
"ACH-000974",117,101,218
"ACH-000160",117,102,219
"ACH-000946",119,101,220
"ACH-000994",120,101,221
"ACH-000829",113,108,221
"ACH-000935",83,138,221
"ACH-000798",121,101,222
"ACH-000242",107,115,222
"ACH-000425",79,143,222
"ACH-000402",122,101,223
"ACH-000404",122,101,223
"ACH-001737",122,101,223
"ACH-000067",102,121,223
"ACH-001289",123,101,224
"ACH-000203",119,106,225
"ACH-001028",113,112,225
"ACH-001031",124,101,225
"ACH-001280",124,101,225
"ACH-001232",123,102,225
"ACH-000972",125,101,226
"ACH-000279",124,103,227
"ACH-000822",128,100,228
"ACH-000469",84,144,228
"ACH-000591",170,58,228
"ACH-000095",122,107,229
"ACH-000811",89,140,229
"ACH-000885",130,101,231
"ACH-000092",88,143,231
"ACH-000198",127,104,231
